Prey,Predator,N
2.830000000000000071e+00,1.233000000000000007e+01,1.516000000000000014e+01
2.180000000000000160e+00,1.230000000000000071e+01,1.448000000000000043e+01
1.500000000000000000e+00,1.319999999999999929e+01,1.469999999999999929e+01
1.830000000000000071e+00,1.222000000000000064e+01,1.405000000000000071e+01
1.679999999999999938e+00,1.075000000000000000e+01,1.242999999999999972e+01
2.120000000000000107e+00,5.940000000000000391e+00,8.060000000000000497e+00
2.430000000000000160e+00,1.203999999999999915e+01,1.447000000000000064e+01
4.679999999999999716e+00,7.780000000000000249e+00,1.246000000000000085e+01
5.730000000000000426e+00,7.480000000000000426e+00,1.321000000000000085e+01
5.570000000000000284e+00,6.330000000000000071e+00,1.190000000000000036e+01
9.699999999999999289e+00,3.699999999999999956e-01,1.007000000000000028e+01
2.850000000000000089e+00,5.990000000000000213e+00,8.839999999999999858e+00
2.939999999999999947e+00,1.080000000000000071e+01,1.374000000000000021e+01
8.679999999999999716e+00,3.020000000000000018e+00,1.169999999999999929e+01
3.890000000000000124e+00,9.410000000000000142e+00,1.330000000000000071e+01
2.779999999999999805e+00,9.570000000000000284e+00,1.234999999999999964e+01
9.580000000000000071e+00,4.500000000000000111e-01,1.002999999999999936e+01
9.300000000000000488e-01,9.869999999999999218e+00,1.080000000000000071e+01
9.200000000000000400e-01,5.540000000000000036e+00,6.459999999999999964e+00
1.320000000000000062e+00,1.075000000000000000e+01,1.207000000000000028e+01
2.370000000000000107e+00,1.336999999999999922e+01,1.574000000000000021e+01
1.649999999999999911e+00,1.271000000000000085e+01,1.435999999999999943e+01
9.890000000000000568e+00,5.999999999999999778e-02,9.949999999999999289e+00
1.120000000000000107e+00,1.403999999999999915e+01,1.516000000000000014e+01
2.890000000000000124e+00,1.203999999999999915e+01,1.492999999999999972e+01
1.580000000000000071e+00,1.352999999999999936e+01,1.510999999999999943e+01
5.330000000000000071e+00,9.310000000000000497e+00,1.464000000000000057e+01
2.390000000000000124e+00,1.274000000000000021e+01,1.513000000000000078e+01
5.639999999999999680e+00,8.660000000000000142e+00,1.430000000000000071e+01
1.550000000000000044e+00,1.288000000000000078e+01,1.442999999999999972e+01
4.080000000000000071e+00,8.380000000000000782e+00,1.246000000000000085e+01
1.350000000000000089e+00,8.509999999999999787e+00,9.859999999999999432e+00
3.129999999999999893e+00,1.274000000000000021e+01,1.586999999999999922e+01
2.209999999999999964e+00,1.203999999999999915e+01,1.425000000000000000e+01
9.150000000000000355e+00,1.409999999999999920e+00,1.056000000000000050e+01
2.319999999999999840e+00,1.186999999999999922e+01,1.418999999999999950e+01
9.869999999999999218e+00,8.999999999999999667e-02,9.960000000000000853e+00
9.769999999999999574e+00,1.600000000000000033e-01,9.929999999999999716e+00
2.259999999999999787e+00,8.169999999999999929e+00,1.042999999999999972e+01
2.589999999999999858e+00,1.294999999999999929e+01,1.553999999999999915e+01
2.669999999999999929e+00,1.172000000000000064e+01,1.439000000000000057e+01
9.480000000000000426e+00,7.600000000000000089e-01,1.024000000000000021e+01
9.500000000000000000e+00,8.299999999999999600e-01,1.033000000000000007e+01
2.600000000000000089e+00,8.820000000000000284e+00,1.141999999999999993e+01
1.860000000000000098e+00,1.261999999999999922e+01,1.448000000000000043e+01
8.820000000000000284e+00,2.330000000000000071e+00,1.115000000000000036e+01
8.100000000000000533e-01,1.010999999999999943e+01,1.091999999999999993e+01
2.680000000000000160e+00,1.252999999999999936e+01,1.521000000000000085e+01
3.439999999999999947e+00,1.139000000000000057e+01,1.483000000000000007e+01
9.769999999999999574e+00,3.900000000000000133e-01,1.016000000000000014e+01
